SurvID,StartTime,EndTime
101,10/12/2014 10:26,10/12/2014 10:33
102,10/12/2014 11:16,10/12/2014 11:18
103,10/12/2014 11:15,10/12/2014 11:55
104,10/12/2014 11:45,10/12/2014 12:35
105,10/12/2014 11:56,10/12/2014 12:50
108,10/12/2014 12:28,10/12/2014 12:59
109,10/12/2014 12:29,10/12/2014 13:06
110,10/12/2014 13:50,10/12/2014 14:40
111,10/12/2014 14:55,10/12/2014 15:02
112,10/14/2014 12:36,10/14/2014 13:06
113,10/14/2014 13:03,
114,10/14/2014 13:07,10/14/2014 13:48
115,10/14/2014 13:20,10/14/2014 13:55
116,10/14/2014 13:59,10/14/2014 14:48
117,10/14/2014 14:01,10/14/2014 15:01
118,10/14/2014 14:37,10/14/2014 14:57
119,10/14/2014 15:26,10/14/2014 15:52
